TransactionID,Time,Date,Drinker,License,Bar
7018,12:47:34,1/13/2015,Whitney Vargas,622517-0445,AY! JALISCO II
7019,8:10:17,11/19/2015,Jaquelyn Mercado,622517-0445,AY! JALISCO II
7020,4:58:34,7/21/2015,Deanna Wilson,622517-0445,AY! JALISCO II
7021,11:48:11,1/6/2017,Neil Powers,622517-0445,AY! JALISCO II
7022,8:03:15,1/23/2017,Thor Hays,622517-0445,AY! JALISCO II
7023,4:11:24,7/27/2016,Calvin Slater,622517-0445,AY! JALISCO II
7024,7:50:21,3/10/2015,Wylie Nixon,622517-0445,AY! JALISCO II
7025,14:34:50,12/28/2016,Tyler Mathis,622517-0445,AY! JALISCO II
7026,9:04:14,10/20/2017,Tyler Mathis,622517-0445,AY! JALISCO II
7027,17:57:41,11/21/2016,Raven Conley,622517-0445,AY! JALISCO II
7028,15:46:58,11/16/2016,Tyler Mathis,622517-0445,AY! JALISCO II
7029,6:18:39,3/18/2015,Chester Wright,622517-0445,AY! JALISCO II
7030,15:46:11,6/24/2015,Jamal Clarke,622517-0445,AY! JALISCO II
7031,8:31:33,11/12/2015,Jorden Becker,622517-0445,AY! JALISCO II
7032,13:05:39,9/11/2017,Jamal Clarke,622517-0445,AY! JALISCO II
7033,6:36:19,1/5/2016,Jorden Becker,622517-0445,AY! JALISCO II
7034,12:25:11,5/5/2017,Jaquelyn Mercado,622517-0445,AY! JALISCO II
7035,13:10:10,10/31/2016,Dorothy Hendrix,622517-0445,AY! JALISCO II
7036,16:00:54,5/23/2018,Raven Conley,622517-0445,AY! JALISCO II
7037,4:09:00,6/10/2016,Jaquelyn Mercado,622517-0445,AY! JALISCO II
7038,18:18:37,11/13/2015,Alfonso Douglas,622517-0445,AY! JALISCO II
7039,5:49:09,2/28/2018,Alfonso Douglas,622517-0445,AY! JALISCO II
7040,16:40:30,4/23/2015,April Foster,622517-0445,AY! JALISCO II
7041,7:00:01,3/2/2018,Ella Wallace,622517-0445,AY! JALISCO II
7042,6:27:42,10/28/2016,Gareth Gamble,622517-0445,AY! JALISCO II
7043,12:55:28,8/24/2016,Raven Conley,622517-0445,AY! JALISCO II
7044,18:38:53,3/10/2016,Thor Hays,622517-0445,AY! JALISCO II
7045,5:49:37,2/5/2016,Neil Powers,622517-0445,AY! JALISCO II
7046,11:17:37,8/22/2017,Jorden Becker,622517-0445,AY! JALISCO II
7047,16:31:07,9/22/2015,April Foster,622517-0445,AY! JALISCO II
7048,4:48:41,8/1/2018,Drake Sweet,622517-0445,AY! JALISCO II
7049,11:02:56,7/26/2016,Jade Yates,622517-0445,AY! JALISCO II
7050,4:35:58,4/12/2017,Lucy Bolton,622517-0445,AY! JALISCO II
7051,13:52:48,8/16/2016,Deanna Wilson,622517-0445,AY! JALISCO II
7052,11:00:47,10/19/2015,April Foster,622517-0445,AY! JALISCO II
7053,10:13:10,5/8/2017,Katelyn Leblanc,622517-0445,AY! JALISCO II
7054,9:37:41,2/27/2017,Jeanette Spencer,622517-0445,AY! JALISCO II
7055,13:33:35,1/16/2015,Jael Reid,622517-0445,AY! JALISCO II
7056,12:02:36,12/23/2015,Nelle Ruiz,622517-0445,AY! JALISCO II
7057,5:43:02,2/6/2015,April Foster,622517-0445,AY! JALISCO II
7058,4:36:49,8/13/2018,Gareth Gamble,622517-0445,AY! JALISCO II
7059,7:53:14,9/25/2018,Jeanette Spencer,622517-0445,AY! JALISCO II
7060,6:15:31,10/29/2015,Jael Reid,622517-0445,AY! JALISCO II
7061,14:17:20,3/27/2015,Bernard Horne,622517-0445,AY! JALISCO II
7062,5:05:33,7/7/2016,Carla Vang,622517-0445,AY! JALISCO II
7063,2:07:54,8/29/2017,Lacy Peterson,615857-5438,NEWS EXPRESS
7064,7:02:58,2/4/2015,Raja Cummings,615857-5438,NEWS EXPRESS
7065,7:36:49,2/21/2018,Marshall Gallegos,615857-5438,NEWS EXPRESS
7066,16:03:46,5/17/2018,Ruth Slater,615857-5438,NEWS EXPRESS
7067,10:09:06,6/6/2016,Kylee Beard,615857-5438,NEWS EXPRESS
7068,2:56:30,4/2/2018,Kermit Willis,615857-5438,NEWS EXPRESS
7069,16:05:24,1/28/2015,Dahlia Moore,615857-5438,NEWS EXPRESS
7070,7:28:27,12/14/2017,Linda Dodson,615857-5438,NEWS EXPRESS
7071,4:06:00,2/12/2015,Maite Goodman,615857-5438,NEWS EXPRESS
7072,14:24:04,7/10/2017,Edan Morales,615857-5438,NEWS EXPRESS
7073,4:18:08,8/11/2017,Quinlan Acevedo,615857-5438,NEWS EXPRESS
7074,13:24:41,3/1/2018,Charity Luna,615857-5438,NEWS EXPRESS
7075,7:01:25,7/17/2018,Abbot Waller,615857-5438,NEWS EXPRESS
7076,4:26:27,11/15/2017,Clarke Richmond,615857-5438,NEWS EXPRESS
7077,12:08:12,8/24/2018,Hannah Walsh,615857-5438,NEWS EXPRESS
7078,13:46:28,7/10/2017,Brynne Roach,615857-5438,NEWS EXPRESS
7079,4:04:03,9/26/2018,Deacon William,615857-5438,NEWS EXPRESS
7080,5:11:20,2/6/2018,Dante Emerson,615857-5438,NEWS EXPRESS
7081,6:39:10,2/17/2017,Doris Torres,615857-5438,NEWS EXPRESS
7082,12:28:26,7/26/2017,Daniel Frost,615857-5438,NEWS EXPRESS
7083,15:58:19,3/27/2015,Emma Leblanc,615857-5438,NEWS EXPRESS
7084,12:42:56,10/14/2015,Bert Wolf,615857-5438,NEWS EXPRESS
7085,11:49:48,12/31/2015,Macey Mcmillan,615857-5438,NEWS EXPRESS
7086,13:18:05,4/10/2015,Linda Francis,615857-5438,NEWS EXPRESS
7087,15:19:21,11/8/2018,Kendall Clements,615857-5438,NEWS EXPRESS
7088,4:42:34,12/22/2017,Raja Cummings,615857-5438,NEWS EXPRESS
7089,8:39:49,4/25/2018,Ivan Shepherd,615857-5438,NEWS EXPRESS
7090,16:37:21,12/29/2017,Kameko Deleon,615857-5438,NEWS EXPRESS
7091,11:39:17,6/22/2016,Dante Emerson,615857-5438,NEWS EXPRESS
7092,5:07:36,8/20/2018,Adrian Mcmillan,615857-5438,NEWS EXPRESS
7093,4:29:41,4/28/2017,Evelyn Nielsen,615857-5438,NEWS EXPRESS
7094,11:52:15,8/7/2015,Hyacinth Rush,615857-5438,NEWS EXPRESS
7095,15:36:43,6/22/2016,Dahlia Harrington,615857-5438,NEWS EXPRESS
7096,8:14:00,3/8/2018,Kennan Wells,615857-5438,NEWS EXPRESS
7097,4:51:09,5/4/2015,Pamela Mclaughlin,615857-5438,NEWS EXPRESS
7098,12:44:11,5/25/2015,Tanner Yang,615857-5438,NEWS EXPRESS
7099,1:13:30,6/16/2017,Darrel Marshall,615857-5438,NEWS EXPRESS
7100,15:54:46,5/10/2018,Hayes Cline,615857-5438,NEWS EXPRESS
7101,12:02:55,9/26/2017,Bert Wolf,615857-5438,NEWS EXPRESS
7102,4:25:18,12/3/2015,Brett Orr,615857-5438,NEWS EXPRESS
7103,9:50:55,3/18/2015,Tad Morton,615857-5438,NEWS EXPRESS
7104,4:38:40,9/1/2017,Reese Heath,615857-5438,NEWS EXPRESS
7105,16:01:44,5/25/2017,Adrienne Salazar,615857-5438,NEWS EXPRESS
7106,1:02:52,11/4/2016,Linda Francis,615857-5438,NEWS EXPRESS
7107,14:01:22,12/30/2015,Kennan Wells,615857-5438,NEWS EXPRESS
7108,11:57:44,7/5/2016,Brennan Foster,615857-5438,NEWS EXPRESS
7109,3:11:19,6/14/2016,Ariana Haley,615857-5438,NEWS EXPRESS
7110,13:27:46,4/1/2016,Ariana Haley,615857-5438,NEWS EXPRESS
7111,8:59:04,6/9/2016,Rogan Burns,615857-5438,NEWS EXPRESS
7112,9:05:45,4/24/2018,Slade Workman,615857-5438,NEWS EXPRESS
7113,1:20:33,2/11/2015,Xena Cooley,615857-5438,NEWS EXPRESS
7114,10:07:17,1/2/2015,Abbot Velasquez,615857-5438,NEWS EXPRESS
7115,9:38:44,7/8/2016,Indira Reed,615857-5438,NEWS EXPRESS
7116,7:48:06,7/20/2016,Adara Terrell,615857-5438,NEWS EXPRESS
7117,12:24:49,3/7/2017,Phelan Hale,615857-5438,NEWS EXPRESS
7118,2:13:23,7/16/2015,Kylee Beard,615857-5438,NEWS EXPRESS
7119,15:08:24,4/19/2016,Abraham Craig,615857-5438,NEWS EXPRESS
7120,10:44:56,9/20/2017,Gloria Berg,615857-5438,NEWS EXPRESS
7121,11:19:06,8/31/2017,Iliana Romero,615857-5438,NEWS EXPRESS
7122,1:40:18,9/20/2017,Rahim Lopez,615857-5438,NEWS EXPRESS
7123,15:44:16,12/18/2015,Kameko Deleon,615857-5438,NEWS EXPRESS
7124,10:08:00,10/18/2016,Dante Emerson,615857-5438,NEWS EXPRESS
7125,15:03:31,9/4/2017,Bert Wolf,615857-5438,NEWS EXPRESS
7126,8:07:42,8/4/2015,Gloria Berg,615857-5438,NEWS EXPRESS
7127,10:07:23,4/10/2017,Alice Middleton,615857-5438,NEWS EXPRESS
7128,7:03:09,12/13/2016,Zia Ochoa,615857-5438,NEWS EXPRESS
7129,16:17:54,5/5/2016,Brett Orr,615857-5438,NEWS EXPRESS
7130,3:18:11,7/12/2018,Shellie Nicholson,615857-5438,NEWS EXPRESS
7131,3:34:17,5/19/2016,Hope Leonard,615857-5438,NEWS EXPRESS
7132,7:56:13,11/15/2016,Deacon William,615857-5438,NEWS EXPRESS
7133,14:09:24,6/9/2016,Adrian Mcmillan,615857-5438,NEWS EXPRESS
7134,10:16:25,6/8/2016,Hakeem Mason,615857-5438,NEWS EXPRESS
7135,14:46:03,2/12/2015,Brody Finley,615857-5438,NEWS EXPRESS
7136,2:54:06,8/24/2018,Sheila Noel,615857-5438,NEWS EXPRESS
7137,16:13:47,8/20/2018,Edan Morales,615857-5438,NEWS EXPRESS
7138,1:23:52,11/17/2015,Phyllis Schwartz,615857-5438,NEWS EXPRESS
7139,12:06:01,12/4/2015,Doris Torres,615857-5438,NEWS EXPRESS
7140,16:32:10,5/1/2015,Cameran Roberts,615857-5438,NEWS EXPRESS
7141,14:17:49,7/13/2016,Hakeem Mason,615857-5438,NEWS EXPRESS
7142,14:25:37,6/26/2015,Sheila Noel,615857-5438,NEWS EXPRESS
7143,14:20:09,11/2/2016,Marshall Gallegos,615857-5438,NEWS EXPRESS
7144,15:38:48,3/18/2015,Denton Mccullough,615857-5438,NEWS EXPRESS
7145,12:32:42,4/9/2018,Erich Decker,615857-5438,NEWS EXPRESS
7146,13:51:01,4/15/2015,Raymond Vinson,615857-5438,NEWS EXPRESS
7147,11:32:53,4/30/2015,Barbara Griffin,348656-7617,Winil Wine Bar
7148,9:36:44,6/21/2016,Iliana Everett,348656-7617,Winil Wine Bar
7149,16:58:11,6/25/2015,Kaseem Hanson,348656-7617,Winil Wine Bar
7150,8:59:45,12/15/2016,Nomlanga Black,348656-7617,Winil Wine Bar
7151,14:03:19,11/10/2015,Lucy Cooley,348656-7617,Winil Wine Bar
7152,5:24:52,8/5/2016,Whoopi Holman,348656-7617,Winil Wine Bar
7153,17:04:02,6/14/2018,Hashim Serrano,348656-7617,Winil Wine Bar
7154,11:32:59,5/25/2018,Melanie Davidson,348656-7617,Winil Wine Bar
7155,12:50:06,11/6/2017,David Ellis,348656-7617,Winil Wine Bar
7156,11:35:44,11/22/2016,Cathleen Bailey,348656-7617,Winil Wine Bar
7157,5:24:16,10/22/2015,Sigourney Oneill,348656-7617,Winil Wine Bar
7158,5:33:33,6/20/2016,Keefe Lopez,348656-7617,Winil Wine Bar
7159,8:48:53,12/5/2018,Keefe Lopez,348656-7617,Winil Wine Bar
7160,13:01:44,12/10/2018,Kirby Davenport,348656-7617,Winil Wine Bar
7161,12:23:17,4/1/2015,Ulla Fitzgerald,348656-7617,Winil Wine Bar
7162,6:41:33,4/30/2015,Alice Downs,348656-7617,Winil Wine Bar
7163,17:08:16,12/19/2018,Walter Cash,348656-7617,Winil Wine Bar
7164,8:11:32,11/28/2018,Zephr Wilkins,348656-7617,Winil Wine Bar
7165,19:04:18,2/3/2015,Bruce Ferguson,348656-7617,Winil Wine Bar
7166,15:11:42,12/1/2015,Whoopi Holman,348656-7617,Winil Wine Bar
7167,6:35:01,5/18/2015,Rhonda Frazier,348656-7617,Winil Wine Bar
7168,17:42:52,6/12/2015,Iona Snider,348656-7617,Winil Wine Bar
7169,12:17:16,11/24/2017,Katelyn Nixon,348656-7617,Winil Wine Bar
7170,6:18:15,6/1/2015,Chava Avila,348656-7617,Winil Wine Bar
7171,5:23:23,10/29/2018,Kato Grimes,348656-7617,Winil Wine Bar
7172,6:08:53,4/23/2018,Inga Meyers,348656-7617,Winil Wine Bar
7173,10:27:50,6/26/2015,Paki Perez,348656-7617,Winil Wine Bar
7174,17:37:13,1/14/2015,Brady Burt,348656-7617,Winil Wine Bar
7175,5:12:08,2/20/2017,Marsden Gutierrez,348656-7617,Winil Wine Bar
7176,11:21:52,9/22/2016,Katelyn Nixon,348656-7617,Winil Wine Bar
7177,19:56:59,3/26/2018,Warren Rogers,348656-7617,Winil Wine Bar
7178,18:50:07,3/8/2017,Clark Bowers,348656-7617,Winil Wine Bar
7179,8:35:21,3/25/2016,Yasir Mcknight,348656-7617,Winil Wine Bar
7180,9:22:37,12/14/2015,Ila Carrillo,348656-7617,Winil Wine Bar
7181,10:23:07,9/2/2016,Hyatt Torres,348656-7617,Winil Wine Bar
7182,12:50:43,12/14/2015,Coby Foley,348656-7617,Winil Wine Bar
7183,13:28:42,5/22/2018,Kibo Page,348656-7617,Winil Wine Bar
7184,11:20:49,5/18/2015,Dalton Montoya,348656-7617,Winil Wine Bar
7185,13:08:31,9/13/2018,Phillip Wheeler,348656-7617,Winil Wine Bar
7186,14:25:05,9/24/2018,Daniel Griffith,348656-7617,Winil Wine Bar
7187,5:24:13,8/8/2018,Ila Carrillo,348656-7617,Winil Wine Bar
7188,13:44:08,12/11/2015,Ori Harding,348656-7617,Winil Wine Bar
7189,10:50:49,9/5/2016,Bruce Ferguson,348656-7617,Winil Wine Bar
7190,19:47:12,2/28/2017,Velma Odom,348656-7617,Winil Wine Bar
7191,16:38:30,12/24/2018,Herman Daniels,348656-7617,Winil Wine Bar
7192,8:10:42,1/14/2016,Harding Blackburn,348656-7617,Winil Wine Bar
7193,11:21:51,11/4/2015,Tana Vance,348656-7617,Winil Wine Bar
7194,5:50:48,9/24/2015,Zephr Wilkins,348656-7617,Winil Wine Bar
7195,19:50:11,1/18/2018,Evangeline Stewart,348656-7617,Winil Wine Bar
7196,18:24:32,10/19/2018,Rama Roy,348656-7617,Winil Wine Bar
7197,9:18:34,9/9/2015,Colorado Valentine,348656-7617,Winil Wine Bar
7198,12:22:50,6/11/2018,Margaret Jennings,348656-7617,Winil Wine Bar
7199,10:49:20,1/23/2015,Kibo Page,348656-7617,Winil Wine Bar
7200,19:24:19,12/19/2018,Barbara Griffin,348656-7617,Winil Wine Bar
7201,5:43:30,8/25/2015,Tana Vance,348656-7617,Winil Wine Bar
7202,10:05:48,8/28/2015,Abraham Adkins,348656-7617,Winil Wine Bar
7203,11:19:47,11/8/2018,Rhonda Frazier,348656-7617,Winil Wine Bar
7204,6:02:34,8/23/2016,Hillary Bell,348656-7617,Winil Wine Bar
7205,10:53:19,4/28/2016,Jerome Hood,348656-7617,Winil Wine Bar
7206,9:34:18,1/16/2015,Kato Grimes,348656-7617,Winil Wine Bar
7207,13:33:09,4/6/2015,Kylan Burks,348656-7617,Winil Wine Bar
7208,13:47:45,7/11/2017,Kiara Boyle,348656-7617,Winil Wine Bar
7209,11:33:18,9/29/2015,Warren Rogers,348656-7617,Winil Wine Bar
7210,11:25:45,5/23/2018,Minerva Hicks,348656-7617,Winil Wine Bar
7211,8:38:09,5/5/2016,Cathleen Bailey,348656-7617,Winil Wine Bar
7212,10:30:24,11/15/2017,Dalton Montoya,348656-7617,Winil Wine Bar
7213,8:28:43,10/4/2017,Autumn Randall,348656-7617,Winil Wine Bar
7214,11:19:11,10/2/2015,Lucy Cooley,348656-7617,Winil Wine Bar
7215,13:48:45,1/5/2015,Iona Moses,348656-7617,Winil Wine Bar
7216,14:42:28,3/21/2016,Tana Vance,348656-7617,Winil Wine Bar
7217,14:27:08,4/13/2016,Colorado Valentine,348656-7617,Winil Wine Bar
7218,15:43:59,1/9/2015,Coby Foley,348656-7617,Winil Wine Bar
7219,5:24:30,11/1/2018,Jordan Figueroa,348656-7617,Winil Wine Bar
7220,16:40:31,2/3/2016,Noelle Hurst,348656-7617,Winil Wine Bar
7221,5:01:55,5/28/2015,Cathleen Bailey,348656-7617,Winil Wine Bar
7222,15:44:06,8/3/2016,Charde Mcmillan,348656-7617,Winil Wine Bar
7223,10:50:10,6/22/2017,Clark Bowers,348656-7617,Winil Wine Bar
7224,15:42:27,9/3/2018,Damon Tanner,348656-7617,Winil Wine Bar
7225,6:54:37,10/5/2016,Velma Odom,348656-7617,Winil Wine Bar
7226,11:40:23,6/29/2016,Tiger Cote,348656-7617,Winil Wine Bar
7227,7:45:11,4/9/2015,Quinlan Blankenship,348656-7617,Winil Wine Bar
7228,7:53:18,11/21/2018,Bruce Ferguson,348656-7617,Winil Wine Bar
7229,7:57:00,3/6/2017,Damon Tanner,348656-7617,Winil Wine Bar
7230,16:22:12,7/30/2015,Angelica Savage,784026-4704,POSITANO RISTORANTE ITALIANO
7231,1:56:42,5/29/2017,Eve Macdonald,784026-4704,POSITANO RISTORANTE ITALIANO
7232,9:13:29,2/11/2015,Colette Stanley,784026-4704,POSITANO RISTORANTE ITALIANO
7233,10:21:35,12/23/2016,Eagan Harris,784026-4704,POSITANO RISTORANTE ITALIANO
7234,14:18:26,10/31/2016,Dakota Slater,784026-4704,POSITANO RISTORANTE ITALIANO
7235,9:51:46,5/28/2018,Zenia Riggs,784026-4704,POSITANO RISTORANTE ITALIANO
7236,9:11:19,7/29/2015,Sonya Haynes,784026-4704,POSITANO RISTORANTE ITALIANO
7237,10:50:04,3/24/2017,Paki Richmond,784026-4704,POSITANO RISTORANTE ITALIANO
7238,15:34:02,10/30/2015,Gretchen David,784026-4704,POSITANO RISTORANTE ITALIANO
7239,13:07:03,11/30/2016,Yael Buckley,784026-4704,POSITANO RISTORANTE ITALIANO
7240,3:46:37,5/31/2017,Mary Bentley,784026-4704,POSITANO RISTORANTE ITALIANO
7241,6:22:28,11/21/2017,Yael Buckley,784026-4704,POSITANO RISTORANTE ITALIANO
7242,10:11:00,9/2/2016,Gretchen David,784026-4704,POSITANO RISTORANTE ITALIANO
7243,15:55:30,8/1/2016,Whilemina Hanson,784026-4704,POSITANO RISTORANTE ITALIANO
7244,13:59:32,6/10/2016,Candice Merritt,784026-4704,POSITANO RISTORANTE ITALIANO
7245,12:36:16,10/8/2015,Sierra Bauer,784026-4704,POSITANO RISTORANTE ITALIANO
7246,4:00:20,1/22/2018,Astra Mcclure,784026-4704,POSITANO RISTORANTE ITALIANO
7247,5:50:32,8/8/2017,Rhiannon Giles,784026-4704,POSITANO RISTORANTE ITALIANO
7248,6:50:41,9/20/2017,Amery Bright,784026-4704,POSITANO RISTORANTE ITALIANO
7249,11:44:03,5/14/2018,Karly Vargas,784026-4704,POSITANO RISTORANTE ITALIANO
7250,4:50:35,4/5/2017,Robert Dunn,784026-4704,POSITANO RISTORANTE ITALIANO
7251,14:26:07,5/2/2016,Irma Casey,784026-4704,POSITANO RISTORANTE ITALIANO
7252,5:14:59,1/25/2018,Samson Perez,784026-4704,POSITANO RISTORANTE ITALIANO
7253,1:44:03,1/21/2016,Dale Mcfarland,784026-4704,POSITANO RISTORANTE ITALIANO
7254,8:42:40,3/23/2017,Mary Bentley,784026-4704,POSITANO RISTORANTE ITALIANO
7255,4:34:53,8/2/2018,James Hurst,784026-4704,POSITANO RISTORANTE ITALIANO
7256,5:58:18,10/24/2016,Zenia Riggs,784026-4704,POSITANO RISTORANTE ITALIANO
7257,10:35:03,3/7/2016,Price Trujillo,784026-4704,POSITANO RISTORANTE ITALIANO
7258,7:25:52,10/14/2016,Kay Witt,784026-4704,POSITANO RISTORANTE ITALIANO
7259,11:07:31,1/1/2018,Nash Short,784026-4704,POSITANO RISTORANTE ITALIANO
7260,17:52:11,8/21/2018,Dale Mcfarland,784026-4704,POSITANO RISTORANTE ITALIANO
7261,4:34:46,5/13/2016,Cruz Rojas,784026-4704,POSITANO RISTORANTE ITALIANO
7262,6:26:53,8/24/2016,James Hurst,784026-4704,POSITANO RISTORANTE ITALIANO
7263,6:24:55,11/8/2018,Eve Macdonald,784026-4704,POSITANO RISTORANTE ITALIANO
7264,17:10:49,2/15/2017,Astra Mcclure,784026-4704,POSITANO RISTORANTE ITALIANO
7265,12:28:53,7/7/2016,Sonya Nichols,784026-4704,POSITANO RISTORANTE ITALIANO
7266,4:29:33,11/3/2015,Eve Bray,784026-4704,POSITANO RISTORANTE ITALIANO
7267,17:45:33,10/20/2015,Karly Vargas,784026-4704,POSITANO RISTORANTE ITALIANO
7268,10:56:31,8/20/2018,Rose Chen,784026-4704,POSITANO RISTORANTE ITALIANO
7269,17:00:53,4/13/2017,Keegan Bartlett,784026-4704,POSITANO RISTORANTE ITALIANO
7270,16:15:57,12/22/2016,Rebekah Short,784026-4704,POSITANO RISTORANTE ITALIANO
7271,12:59:05,8/23/2017,Gareth Burt,784026-4704,POSITANO RISTORANTE ITALIANO
7272,8:35:40,9/22/2016,Brett Steele,784026-4704,POSITANO RISTORANTE ITALIANO
7273,14:22:37,10/6/2017,Sean Stokes,784026-4704,POSITANO RISTORANTE ITALIANO
7274,2:51:40,12/1/2017,Eaton Murphy,784026-4704,POSITANO RISTORANTE ITALIANO
7275,15:36:15,1/16/2017,Nehru Montgomery,784026-4704,POSITANO RISTORANTE ITALIANO
7276,6:25:48,12/28/2018,Kay Witt,784026-4704,POSITANO RISTORANTE ITALIANO
7277,1:24:33,3/14/2016,Sierra Bauer,784026-4704,POSITANO RISTORANTE ITALIANO
7278,10:23:37,6/15/2018,Rebekah Short,784026-4704,POSITANO RISTORANTE ITALIANO
7279,7:50:41,9/6/2016,Kirsten Parks,784026-4704,POSITANO RISTORANTE ITALIANO
7280,15:39:59,10/12/2015,Zelenia Gonzalez,784026-4704,POSITANO RISTORANTE ITALIANO
7281,2:25:55,12/10/2015,Candice Merritt,784026-4704,POSITANO RISTORANTE ITALIANO
7282,10:14:44,1/11/2017,Karly Vargas,784026-4704,POSITANO RISTORANTE ITALIANO
7283,17:35:52,8/8/2016,Karly Vargas,784026-4704,POSITANO RISTORANTE ITALIANO
7284,6:25:47,4/9/2018,Eric Hubbard,784026-4704,POSITANO RISTORANTE ITALIANO
7285,12:16:59,6/21/2016,Eagan Harris,784026-4704,POSITANO RISTORANTE ITALIANO
7286,4:00:42,12/28/2017,Whilemina Hanson,784026-4704,POSITANO RISTORANTE ITALIANO
7287,6:49:23,6/3/2016,Heather Jefferson,784026-4704,POSITANO RISTORANTE ITALIANO
7288,1:41:57,7/10/2018,Reece Justice,784026-4704,POSITANO RISTORANTE ITALIANO
7289,14:41:50,1/6/2016,Kerry Mckay,784026-4704,POSITANO RISTORANTE ITALIANO
7290,13:45:12,12/18/2018,Aspen Petty,784026-4704,POSITANO RISTORANTE ITALIANO
7291,7:31:25,7/9/2015,Ulric Rosa,784026-4704,POSITANO RISTORANTE ITALIANO
7292,13:22:06,7/12/2016,Yael Buckley,784026-4704,POSITANO RISTORANTE ITALIANO
7293,4:53:33,10/8/2018,Dillon Wilkerson,784026-4704,POSITANO RISTORANTE ITALIANO
7294,11:57:13,4/30/2018,Amery Bright,784026-4704,POSITANO RISTORANTE ITALIANO
7295,13:55:50,7/20/2015,Sharon Trevino,784026-4704,POSITANO RISTORANTE ITALIANO
7296,9:29:17,7/26/2016,Kay Witt,784026-4704,POSITANO RISTORANTE ITALIANO
7297,8:08:03,2/29/2016,Whilemina Hanson,784026-4704,POSITANO RISTORANTE ITALIANO
7298,10:04:30,2/17/2017,Rosalyn Dunlap,784026-4704,POSITANO RISTORANTE ITALIANO
7299,12:15:01,7/23/2018,Quon Kirby,784026-4704,POSITANO RISTORANTE ITALIANO
7300,8:24:10,6/4/2015,Chanda Benton,784026-4704,POSITANO RISTORANTE ITALIANO
7301,5:39:41,8/7/2018,Angelica Savage,784026-4704,POSITANO RISTORANTE ITALIANO
7302,8:13:02,3/31/2016,Cailin Bishop,784026-4704,POSITANO RISTORANTE ITALIANO
7303,5:27:45,7/31/2018,Cruz Rojas,784026-4704,POSITANO RISTORANTE ITALIANO
7304,10:29:56,10/27/2017,Celeste Vincent,784026-4704,POSITANO RISTORANTE ITALIANO
7305,6:22:21,4/26/2016,Reece Justice,784026-4704,POSITANO RISTORANTE ITALIANO
7306,12:58:17,11/8/2018,Hammett Savage,784026-4704,POSITANO RISTORANTE ITALIANO
7307,4:15:54,10/30/2015,Rose Chen,784026-4704,POSITANO RISTORANTE ITALIANO
7308,6:41:05,1/30/2015,Ora Mcleod,784026-4704,POSITANO RISTORANTE ITALIANO
7309,16:41:07,11/10/2017,Lenore Wooten,784026-4704,POSITANO RISTORANTE ITALIANO
7310,9:42:31,7/14/2016,Vaughan Berry,784026-4704,POSITANO RISTORANTE ITALIANO
7311,12:08:55,9/24/2015,Paki Richmond,784026-4704,POSITANO RISTORANTE ITALIANO
7312,8:35:34,5/17/2016,Lucius Walsh,784026-4704,POSITANO RISTORANTE ITALIANO
7313,11:56:15,1/9/2018,Gage Hines,383254-4286,TASTE OF EUROPE
7314,10:34:31,7/17/2015,Upton Riggs,383254-4286,TASTE OF EUROPE
7315,17:20:20,1/23/2017,Harlan Luna,383254-4286,TASTE OF EUROPE
7316,19:00:09,12/11/2017,Fay Stout,383254-4286,TASTE OF EUROPE
7317,11:26:49,2/15/2018,Guinevere Mccall,383254-4286,TASTE OF EUROPE
7318,10:54:44,7/19/2017,Lenore Zamora,383254-4286,TASTE OF EUROPE
7319,17:57:14,4/12/2016,Henry Meyers,383254-4286,TASTE OF EUROPE
7320,18:31:46,3/24/2015,Luke Jennings,383254-4286,TASTE OF EUROPE
7321,18:27:29,9/6/2016,Keegan Morin,383254-4286,TASTE OF EUROPE
7322,10:27:25,12/5/2017,Guinevere Mccall,383254-4286,TASTE OF EUROPE
7323,13:29:20,9/3/2015,Lamar Miranda,383254-4286,TASTE OF EUROPE
7324,18:22:21,4/23/2015,Whoopi Hopkins,383254-4286,TASTE OF EUROPE
7325,16:58:35,5/10/2018,Raphael Andrews,383254-4286,TASTE OF EUROPE
7326,15:53:49,12/23/2015,Merrill Gilbert,383254-4286,TASTE OF EUROPE
7327,6:30:51,7/1/2015,Irene Bridges,383254-4286,TASTE OF EUROPE
7328,19:36:15,12/18/2015,Irene Rosa,383254-4286,TASTE OF EUROPE
7329,10:54:41,9/14/2015,Kiayada Williamson,383254-4286,TASTE OF EUROPE
7330,17:33:37,11/8/2016,Claire Willis,383254-4286,TASTE OF EUROPE
7331,8:46:09,11/4/2015,Merrill Gilbert,383254-4286,TASTE OF EUROPE
7332,12:03:47,2/13/2015,Inga Hewitt,383254-4286,TASTE OF EUROPE
7333,15:42:05,3/9/2017,Scarlet Mcmillan,383254-4286,TASTE OF EUROPE
7334,5:42:52,5/25/2017,Pamela Valdez,383254-4286,TASTE OF EUROPE
7335,12:12:11,10/3/2017,Ora Warren,383254-4286,TASTE OF EUROPE
7336,7:41:23,9/7/2015,Uta Jacobs,383254-4286,TASTE OF EUROPE
7337,10:05:50,6/10/2015,Cameron Beck,383254-4286,TASTE OF EUROPE
7338,17:28:26,3/30/2015,Blaze Charles,383254-4286,TASTE OF EUROPE
7339,19:41:45,8/16/2017,Duncan Crosby,383254-4286,TASTE OF EUROPE
7340,9:51:54,11/7/2016,Ruby Kramer,383254-4286,TASTE OF EUROPE
