Name,SSN,Bar,License
"Clark Shaffer",866-19-02,"TAKOMA PARK PUB",562552-4672
"Clark Sloan",064-25-06,"Les Trois 8",066016-1696
"Clarke Clark",699-14-08,"Podozritelnye Litsa Bar",285412-1965
"Clarke Richmond",409-62-03,"NEWS EXPRESS",615857-5438
"Clarke Robinson",187-08-00,"FINNEGAN'S WAKE IRISH PUB",267320-6500
"Clarke Robinson",187-08-00,"STAINED GLASS PUB",033215-5373
"Clarke Robinson",187-08-00,"THELO GREEK GRILL",577421-5163
"Clarke Sanders",422-14-04,"MAMMA LUCIA",825954-1152
"Clarke Sanders",422-14-04,"EL PAISANO",269448-6792
"Clarke Sanders",422-14-04,"MIDWAY PUB",589827-6299
"Clarke Thomas",446-57-06,"PASSION FISH",994587-9188
"Clarke Thomas",446-57-06,Candelaria,645845-0472
"Clarke Thomas",446-57-06,"Le Tr?s Particulier",432512-8710
"Clarke Thomas",446-57-06,"CHEESESTEAK MIKE'S",214195-2529
"Clarke Woodard",463-43-01,"Beertep Craft Pub",052726-7009
"Clarke Woodard",463-43-01,"UNPLUGGED SPORT BAR & RESTAURA",703500-7595
"Clarke Woodard",463-43-01,"CHAPALA RESTAURANT",659157-0376
"Claudia Mullins",034-60-05,"SENOR TEQUILA'S",744864-1998
"Claudia Schultz",746-51-09,"PASSION FISH",994587-9188
"Claudia Schultz",746-51-09,"CHEESESTEAK MIKE'S",214195-2529
"Clayton Combs",206-27-09,N-EUROMART,913546-5087
"Clementine Barry",317-61-07,"TACO BAR",417478-9703
"Clementine Barry",317-61-07,"PARTY TIME LOUNGE",513075-0960
"Clementine Doyle",707-55-08,"BOCA BOTANA'S",633641-0946
"Clementine Doyle",707-55-08,"KOREAN KORNER",252115-9828
"Clementine Doyle",707-55-08,"MRS. K'S TOLL HOUSE",204463-2632
"Clementine Fry",027-34-08,"Chez Ammad",195979-2548
"Clementine Fry",027-34-08,"ARIA BAR & GRILL",705071-9785
"Clementine Fry",027-34-08,"PETERS CARRY OUT",825935-7435
"Clementine Fry",027-34-08,CUBANO'S,284560-8641
"Clementine Fry",027-34-08,"THE QUARRY HOUSE TAVERN",906351-1597
"Cleo Collier",588-96-07,Respublika,457966-5128
"Cleo Collier",588-96-07,"Long Bar",395573-9457
"Cleo Hatfield",648-87-07,"Mandy's Apothecary Irish Pub",036932-8331
"Cleo Hatfield",648-87-07,"HUNAN NIGHT",619242-8172
"Cleo Murphy",882-26-07,"A.P. Stump's",MA12347
"Cleo Murphy",882-26-07,"SIU'S ASIAN BISTRO",647562-0404
"Cleo Murphy",882-26-07,"ATTMAN'S BAR & GRILL",548813-2340
"Cleo Pace",564-37-05,"TRATTORIA SORRENTO",692127-6439
"Cleo Pace",564-37-05,"Tavern U Okolitsy",302168-0412
"Cleo Pace",564-37-05,"TAIPEI CAFE",083408-0624
"Cleo Pace",564-37-05,"Long Bar",395573-9457
"Cleo Pena",029-02-00,"The Ship and Whale",986328-7539
"Clinton Benson",176-60-01,Combat,163829-1896
"Clinton Benson",176-60-01,"Kings Stores",905752-1115
"Clinton Benson",176-60-01,"LOS COBANOS RESTAURANT",312938-5286
"Clinton Chapman",714-47-01,"RED BOWL",707445-3676
"Clinton Chapman",714-47-01,"The Coral Room",336670-1716
"Clinton Chapman",714-47-01,"WATERSHED CAFE",668344-5222
"Clinton Coleman",665-08-00,"Il Fornaio",698268-4422
"Clinton Coleman",665-08-00,"Blue Tattoo",768883-3750
"Clinton Vasquez",802-76-08,"KINGSVIEW CLUB",047272-1463
"Clinton Vasquez",802-76-08,Bruxelles,935080-2824
"Clinton Vasquez",802-76-08,"TAKOMA PARK PUB",562552-4672
"Clinton Vasquez",802-76-08,"SEOULFOOD DC",328119-7933
"Clinton Vasquez",802-76-08,"Giza Hookah Lounge",309407-2687
"Clio Cooper",245-84-06,EGGSPECTATION,459940-2189
"Clio Cooper",245-84-06,"Genatzvale Hall",825794-2857
"Clio Cooper",245-84-06,"CHOICE ",075626-4206
"Clio Cooper",245-84-06,SILVER,716079-8588
"Clio Patel",865-26-01,"DULCINEA BAR & GRILL",155187-4140
"Clio Patel",865-26-01,"NORMANDIE FARM RESTAURANT",604511-6289
"Clio Patel",865-26-01,"TAIPEI TOKYO",147454-4051
"Clio Sampson",747-65-06,"METRO CLUB",289884-2378
"Clio Sampson",747-65-06,"LA MADELEINE",027174-2033
"Coby Bullock",437-73-01,"MOBY DICK SEAFOOD",953947-6565
"Coby Bullock",437-73-01,"Blind Spot",065747-2833
"Coby Collins",434-25-04,"WOODMONT GRILL",277650-5097
"Coby Collins",434-25-04,"TOMMY JOE'S BAR & GRILL",538974-8509
"Coby Collins",434-25-04,"Le CopperBay",146626-5681
"Coby Compton",643-89-02,"The Lounge",557061-3801
"Coby Compton",643-89-02,"YEKTA KABOBI",018125-2537
"Coby Compton",643-89-02,"EL PATIO",266006-4748
"Coby Compton",643-89-02,"TOKYO SUSHI",963932-2784
"Coby Compton",643-89-02,"BENIHANA OF TOKYO",746233-3159
"Coby Compton",643-89-02,"AMALFI RISTORANTE",128083-8887
"Coby Foley",319-41-07,"Castor Club",812147-3998
"Coby Foley",319-41-07,"Molly Gwynn's",408783-4273
"Coby Foley",319-41-07,"Ye Olde Mitre",379956-5316
"Coby Hewitt",654-51-02,"OUTTA THE WAY CAFE",993879-6407
"Coby Hewitt",654-51-02,"MINERVA INDIAN CUISINE",636663-6196
"Coby Lott",364-18-06,"LOCK 72 KITCHEN & BAR",797572-9430
"Coby Lott",364-18-06,Vermuteria,196332-2001
"Coby Lott",364-18-06,"Lord John Russell Pub",804154-3375
"Coby Lott",364-18-06,"OLD TOWN POUR HOUSE",722716-4519
"Cody Bowman",211-80-01,"J N K BEER & WINE",368909-3791
"Cody Buchanan",307-07-08,"Britannia Arms",033266-5462
"Cody Buchanan",307-07-08,"Hedley Club",627764-8355
"Cody Cotton",348-47-02,EGGSPECTATION,459940-2189
"Cody Cotton",348-47-02,SILVER,716079-8588
"Cody Gonzalez",318-25-04,"BOCA BOTANA'S",633641-0946
"Cody Gonzalez",318-25-04,"KOREAN KORNER",252115-9828
"Cody Gonzalez",318-25-04,"TASTE OF EUROPE",383254-4286
"Cody Gonzalez",318-25-04,"THAI TASTE",393201-0154
"Cody Harding",528-07-08,"Guns & Bears Pub",066604-4524
"Cody Harding",528-07-08,"The Lounge",557061-3801
"Cody Harding",528-07-08,"TOKYO SUSHI",963932-2784
"Cody Harding",528-07-08,"BENIHANA OF TOKYO",746233-3159
"Cody Moreno",591-70-07,"KOREAN KORNER",252115-9828
"Cody Moreno",591-70-07,"MRS. K'S TOLL HOUSE",204463-2632
"Cody Moreno",591-70-07,"THAI TASTE",393201-0154
"Cody Ortiz",453-15-08,"YEKTA KABOBI",018125-2537
"Cody Ortiz",453-15-08,"EL PATIO",266006-4748
"Cody Ortiz",453-15-08,"TOKYO SUSHI",963932-2784
"Cody Ortiz",453-15-08,"BENIHANA OF TOKYO",746233-3159
"Cody Ortiz",453-15-08,"AMALFI RISTORANTE",128083-8887
"Colby Church",102-51-02,"KWIK BAR & GRILL",343655-3428
"Colby Church",102-51-02,"John Bull Pub",936645-6904
"Colby Delgado",132-85-07,"Septime La Cave",207005-7456
"Colby Delgado",132-85-07,"Purple Bar at Sanderson",016922-4284
"Colby Lucas",482-31-03,"BOCA BOTANA'S",633641-0946
"Colby Lucas",482-31-03,"TASTE OF EUROPE",383254-4286
"Colby Stevens",263-62-00,VACE,798423-6294
"Colby Stevens",263-62-00,"Beertep Craft Pub",052726-7009
"Cole Holden",134-86-04,"J N K BEER & WINE",368909-3791
"Cole Holden",134-86-04,"The Blank Club",307264-2642
"Cole Rivera",557-78-09,"SPRING BEER HOUSE",556027-9498
"Cole Rivera",557-78-09,"KINGSVIEW CLUB",047272-1463
"Cole Rivera",557-78-09,BALDUCCI'S,189932-3255
"Cole Rivera",557-78-09,"Giza Hookah Lounge",309407-2687
"Cole Stewart",488-36-03,"TARA THAI RESTAURANT",033029-0636
"Cole Stewart",488-36-03,"EVA LOUNGE",243206-3382
"Cole Stewart",488-36-03,"EL SOL SALVADOREAN & MEXICAN R",519829-9801
"Cole Sweeney",552-32-00,"Belowzero Ice Bar",679007-3636
"Cole Sweeney",552-32-00,"RED BOWL",707445-3676
"Cole Sweeney",552-32-00,"The Chandos Arms",072616-5319
"Cole Wong",049-77-07,"WORLD OF BEER",749156-9476
"Cole Wong",049-77-07,"John Bull Pub",936645-6904
"Cole Wong",049-77-07,"Humble Grape - Battersea",289362-8384
"Cole Wong",049-77-07,"The Italian Job",664654-3022
"Colette Anthony",465-14-08,"KWIK BAR & GRILL",343655-3428
"Colette Anthony",465-14-08,"WORLD OF BEER",749156-9476
"Colette Boone",553-51-08,"FINNEGAN'S WAKE IRISH PUB",267320-6500
"Colette Boone",553-51-08,"STAINED GLASS PUB",033215-5373
"Colette Boone",553-51-08,"The Wigmore",785196-5934
"Colette Boone",553-51-08,"CLUB 175",843001-5555
"Colette Bradley",868-75-06,"The Camel Pub",987575-5317
"Colette Bradley",868-75-06,CARAVAN,034340-6674
"Colette Bradley",868-75-06,"CAVA RESTAURANT",727659-2461
"Colette Church",225-46-06,"Lord John Russell Pub",804154-3375
"Colette Jimenez",577-74-08,"LOS CHORROS RESTAURANT",637478-3600
"Colette Jimenez",577-74-08,"SANTO POLLO ",348034-4278
"Colette Shannon",311-73-02,"MAMMA LUCIA",825954-1152
"Colette Shannon",311-73-02,"The Shark and Rose",385233-3057
"Colette Shannon",311-73-02,"EL PAISANO",269448-6792
"Colette Shannon",311-73-02,"WHEATON WINERY",426942-2970
"Colette Shannon",311-73-02,"MIDWAY PUB",589827-6299
"Colette Stanley",154-69-07,"MAMMA LUCIA",825954-1152
"Colette Stanley",154-69-07,"The Shark and Rose",385233-3057
"Colin Bender",149-10-02,"SENOR TEQUILA'S",744864-1998
"Colin Crane",340-35-08,"Aux Folies",178856-0090
"Colin Crane",340-35-08,Neko,097147-8367
"Colin Crane",340-35-08,"SHALOM STRICTLY KOSHER MEATS",077097-3972
"Colin Crane",340-35-08,"SOUTHLAWN RESTAURANT",558375-0236
"Colin Crane",340-35-08,"Brass Monkey",704506-9023
"Colin Valentine",661-96-04,"STAINED GLASS PUB",033215-5373
"Colin Valentine",661-96-04,"CLUB 175",843001-5555
"Colleen Hyde",305-44-06,"LOS CHORROS RESTAURANT",637478-3600
"Colleen Morin",121-97-06,"BARREL & CROW",938023-9690
"Colleen Morin",121-97-06,"Daly's Wine Bar",686766-4572
"Colorado Burgess",827-70-09,"GRAPE AND GRAIN BOUTIQUE",557483-4338
"Colorado Burgess",827-70-09,"LA FERME",978070-9847
"Colorado Burgess",827-70-09,"CHICKEN BASKET",392762-0769
"Colorado Burgess",827-70-09,"PINES OF ROME",012827-6557
"Colorado Hill",181-82-07,"ASPEN HILL BAR & GRILL",122581-2526
"Colorado Hill",181-82-07,"Septime La Cave",207005-7456
"Colorado Hill",181-82-07,"Bar Italiya",278532-0199
"Colorado Lyons",718-12-03,"J N K BEER & WINE",368909-3791
"Colorado Lyons",718-12-03,"The Blank Club",307264-2642
"Colorado Lyons",718-12-03,"SHANGHAI VILLAGE",329549-8939
"Colorado Strong",893-38-08,"METRO CLUB",289884-2378
"Colorado Strong",893-38-08,"CRISFIELD SEAFOOD RESTAURANT",195256-6840
"Colorado Valentine",132-81-06,"EL ANDARIEGO",822937-5764
"Colorado Valentine",132-81-06,"Castor Club",812147-3998
"Colorado Valentine",132-81-06,N-EUROMART,913546-5087
"Colorado Valentine",132-81-06,"Gecko Grill",446219-2628
"Colt Adams",851-06-07,"The Allsop Arms",705990-6557
"Colt Adams",851-06-07,"MAMA WOK",975515-0035
"Colt Adams",851-06-07,"Yan Primus",255119-6765
"Colt Brock",835-92-05,"Belowzero Ice Bar",679007-3636
"Colt Brock",835-92-05,"RED BOWL",707445-3676
"Colt Brock",835-92-05,"The Coral Room",336670-1716
"Colt Powell",766-87-03,Combat,163829-1896
"Colt Powell",766-87-03,"La Fine Mousse",234798-4284
"Colt Powell",766-87-03,"Connolly Station",638134-8991
"Colt Powell",766-87-03,"Ulysses Pub",603310-5963
"Colt Shields",741-94-09,"EL ANDARIEGO",822937-5764
"Colt Shields",741-94-09,"Castor Club",812147-3998
"Colt Shields",741-94-09,"Winil Wine Bar",348656-7617
"Colt Shields",741-94-09,"Ye Olde Mitre",379956-5316
"Colt Zimmerman",127-46-09,"The Blank Club",307264-2642
"Colton Howe",380-67-07,"The B-Hive",159927-7181
"Colton Howe",380-67-07,"L’avant comptoir du marché",508969-5034
"Colton Howe",380-67-07,"Les Trois 8",066016-1696
"Colton Joseph",769-90-02,"THE GREENE TURTLE-Az",272426-2650
"Colton Joseph",769-90-02,"CANA BEER & WINE",192695-6895
"Conan Hendrix",394-04-08,"John Bull Pub",936645-6904
"Conan Hendrix",394-04-08,"Humble Grape - Battersea",289362-8384
"Conan Hendrix",394-04-08,"The Italian Job",664654-3022
"Conan Johnson",327-08-04,"GOURMET PUB",238323-5054
"Conan Kaufman",155-83-02,"KWIK BAR & GRILL",343655-3428
"Conan Kaufman",155-83-02,"WORLD OF BEER",749156-9476
"Conan Kaufman",155-83-02,"Humble Grape - Battersea",289362-8384
"Conan Terry",366-35-05,"Belgian Pub BeerHouse",416665-7371
"Conan Terry",366-35-05,"St. George's Tavern",922270-1568
"Connor Bowman",693-66-06,"TAIPEI TOKYO",147454-4051
"Connor Combs",809-57-07,"Le Syndicat",555889-1650
"Connor Combs",809-57-07,"HANARO RESTAURANT AND LOUNGE",367303-7044
"Connor Combs",809-57-07,"HOP N GRAPE",197460-5337
"Connor Combs",809-57-07,"The DrumLeyton",855299-2110
"Connor Daugherty",492-72-01,"EL AMATE RESTAURANT",284564-0263
"Connor Daugherty",492-72-01,M&BZ,474140-4315
"Connor Moon",463-34-07,"The Backbeat",845635-3971
"Connor Moon",463-34-07,"La Mezcaleria",059219-3288
"Connor Moon",463-34-07,Tweed&Stout,443862-2740
"Connor Moon",463-34-07,"OUTTA THE WAY CAFE",993879-6407
"Connor Nichols",226-16-09,"NEW VILLAGE RESTAURANT",034706-7472
"Connor Nichols",226-16-09,"HUNAN NIGHT",619242-8172
"Connor Peters",569-59-09,"PARTY TIME LOUNGE",513075-0960
"Connor Peters",569-59-09,"En Vrac",065245-1634
"Connor Trujillo",453-54-01,"HOWARD BAR & GRILL",564383-9375
"Connor Trujillo",453-54-01,"LOS CHORROS RESTAURANT",637478-3600
"Connor Trujillo",453-54-01,"DUCK DUCK GOOSE",844789-9843
"Connor Trujillo",453-54-01,"SANTO POLLO ",348034-4278
"Cooper Drake",708-09-03,"Pivbar Kolomenskoye",365700-4523
"Cooper Drake",708-09-03,"Mandy's Apothecary Irish Pub",036932-8331
"Cooper Drake",708-09-03,"NEW VILLAGE RESTAURANT",034706-7472
"Cooper Drake",708-09-03,"HUNAN NIGHT",619242-8172
"Cooper Hopper",864-83-03,"TOTAL BAR",532821-8028
"Cooper Hopper",864-83-03,"Satan's Whiskers",786366-9730
"Cooper Lawson",122-90-01,"ARMAND'S PIZZERIA & GRILLE",506492-2536
"Cooper Lawson",122-90-01,"St. James Tavern",454665-2704
"Cooper Osborne",586-80-00,"The Backbeat",845635-3971
"Cooper Osborne",586-80-00,"EL MARIACHI",107629-9856
"Cooper Osborne",586-80-00,"OUTTA THE WAY CAFE",993879-6407
"Cora Barker",162-49-06,"FINNEGAN'S WAKE IRISH PUB",267320-6500
"Cora Barker",162-49-06,"STAINED GLASS PUB",033215-5373
"Cora Barker",162-49-06,"The Wigmore",785196-5934
"Courtney Castaneda",512-37-05,"TOMMY JOE'S BAR & GRILL",538974-8509
"Courtney Castaneda",512-37-05,"Le CopperBay",146626-5681
"Courtney David",257-86-05,"Belgian Pub BeerHouse",416665-7371
"Courtney David",257-86-05,"THAI AT SILVER SPRING",887258-6824
"Craig Elliott",774-24-01,"TACO BAR",417478-9703
"Craig Elliott",774-24-01,"PARTY TIME LOUNGE",513075-0960
"Craig Elliott",774-24-01,"En Vrac",065245-1634
"Craig Frye",268-02-06,"ADDISU GEBEYA",659375-5835
"Craig Frye",268-02-06,"Belgian Pub BeerHouse",416665-7371
"Craig Frye",268-02-06,"THAI AT SILVER SPRING",887258-6824
"Craig Love",727-23-06,BECLAWS,269500-5799
"Craig Love",727-23-06,"EVA LOUNGE",243206-3382
"Craig Love",727-23-06,"EL SOL SALVADOREAN & MEXICAN R",519829-9801
"Craig Mercado",540-23-05,"LOCK 72 KITCHEN & BAR",797572-9430
"Craig Mercado",540-23-05,"ALL SET",604478-1638
"Craig Mercado",540-23-05,"Lord John Russell Pub",804154-3375
"Craig Mercado",540-23-05,"PETER CHANG'S CHINA BISTRO",578989-6023
"Craig Salazar",835-40-01,"BARKING MAD CAFE",173337-7970
"Craig Travis",168-65-00,Budvar,826130-4276
"Craig Travis",168-65-00,"St. James Tavern",454665-2704
"Craig Travis",168-65-00,"Coconut Willie's Cocktail Loun",103228-2632
"Cruz Acevedo",422-55-07,"Podozritelnye Litsa Bar",285412-1965
"Cruz Acevedo",422-55-07,"SOL AZTECA RESTAURANT",844222-4211
"Cruz Christensen",488-13-09,"St. George's Tavern",922270-1568
"Cruz Christensen",488-13-09,"THAI AT SILVER SPRING",887258-6824
"Cruz Rojas",374-23-07,"EL PAISANO",269448-6792
"Cruz Rojas",374-23-07,"MIDWAY PUB",589827-6299
"Cruz Russell",435-86-06,"SPRING BEER HOUSE",556027-9498
"Cruz Russell",435-86-06,"TAKOMA PARK PUB",562552-4672
"Cruz Russell",435-86-06,BALDUCCI'S,189932-3255
"Cruz Russell",435-86-06,"SEOULFOOD DC",328119-7933
"Cruz Russell",435-86-06,"Giza Hookah Lounge",309407-2687
"Cullen Black",599-30-07,"SPRING BEER HOUSE",556027-9498
"Cullen Black",599-30-07,Bruxelles,935080-2824
"Cullen Brooks",535-98-04,"PARTY TIME LOUNGE",513075-0960
"Cullen English",662-32-09,"BARREL & CROW",938023-9690
"Cullen English",662-32-09,"Daly's Wine Bar",686766-4572
"Cullen Hooper",779-39-06,"Le Tr?s Particulier",432512-8710
"Cullen Kent",277-15-00,"BROOKVILLE EATERY",405616-0742
"Cullen Kent",277-15-00,"Britannia Arms",033266-5462
"Cullen Kent",277-15-00,Anderdog,426308-0014
"Cullen Kent",277-15-00,"MAPLE BEER AND WINE",624171-7682
"Cullen Kent",277-15-00,"PETER'S GRILL",567033-1627
"Cullen Kent",277-15-00,"Hedley Club",627764-8355
"Cullen Lott",225-65-03,"SENOR TEQUILA'S",744864-1998
"Cullen Lott",225-65-03,"PETERS CARRY OUT",825935-7435
"Cullen Medina",246-91-08,"SPRING BEER HOUSE",556027-9498
"Cullen Medina",246-91-08,Bruxelles,935080-2824
"Cullen Medina",246-91-08,"SEOULFOOD DC",328119-7933
"Cullen Medina",246-91-08,"Giza Hookah Lounge",309407-2687
"Cullen Ortega",782-08-05,"DULCINEA BAR & GRILL",155187-4140
"Cullen Peterson",358-30-05,"The Duke Of Argyll",452548-3394
"Curran Alford",112-66-07,"GOLF ULTRA LOUNGE",008054-3713
"Curran Alford",112-66-07,"FOUR U",436611-7341
"Curran Alford",112-66-07,"TARA THAI",514464-4324
"Curran Crawford",321-11-04,"SENOR TEQUILA'S",744864-1998
"Curran Crawford",321-11-04,"THE QUARRY HOUSE TAVERN",906351-1597
"Curran Maldonado",731-37-05,"TARA THAI RESTAURANT",033029-0636
"Curran Maldonado",731-37-05,"EL SOL SALVADOREAN & MEXICAN R",519829-9801
"Curran Whitehead",895-58-05,"ALL SET",604478-1638
"Curran Whitehead",895-58-05,"OLD TOWN POUR HOUSE",722716-4519
"Curran Williams",527-09-07,"Le Tr?s Particulier",432512-8710
"Curran Williams",527-09-07,"CHEESESTEAK MIKE'S",214195-2529
"Cynthia Cochran",182-29-05,"TACO BAR",417478-9703
"Cynthia Cochran",182-29-05,"PARTY TIME LOUNGE",513075-0960
"Cynthia Cochran",182-29-05,"CUBA DE AYER",746894-2946
"Cynthia Cross",690-39-02,"PASSION FISH",994587-9188
"Cynthia Cross",690-39-02,Candelaria,645845-0472
"Cynthia Cross",690-39-02,"Le Tr?s Particulier",432512-8710
"Cynthia Cross",690-39-02,"CHEESESTEAK MIKE'S",214195-2529
"Cynthia Doyle",287-84-04,"FOUR U",436611-7341
"Cynthia Doyle",287-84-04,"OLAZZO RESTAURANT",544976-6244
"Cynthia Doyle",287-84-04,"BETHESDA CRAB HOUSE",789601-4995
"Cynthia Roth",506-48-09,"Mandy's Apothecary Irish Pub",036932-8331
"Cynthia Roth",506-48-09,"NEW VILLAGE RESTAURANT",034706-7472
"Cyrus Armstrong",252-62-07,"SHANGHAI VILLAGE",329549-8939
"Cyrus Barnes",351-03-00,"LOCK 72 KITCHEN & BAR",797572-9430
"Cyrus Barnes",351-03-00,"ALL SET",604478-1638
"Cyrus Barnes",351-03-00,"Lord John Russell Pub",804154-3375
"Cyrus Barnes",351-03-00,"PETER CHANG'S CHINA BISTRO",578989-6023
"Cyrus Barton",463-31-06,Combat,163829-1896
"Cyrus Barton",463-31-06,"Connolly Station",638134-8991
"Cyrus Barton",463-31-06,"Ulysses Pub",603310-5963
"Cyrus Fernandez",511-66-04,"FINNEGAN'S WAKE IRISH PUB",267320-6500
"Cyrus Fernandez",511-66-04,"STAINED GLASS PUB",033215-5373
"Cyrus French",677-49-01,"ATTMAN'S BAR & GRILL",548813-2340
"Cyrus French",677-49-01,"The Ship and Whale",986328-7539
"Cyrus Hampton",311-72-06,Eulipia,836692-8532
"Cyrus Herrera",756-06-09,"BROOKVILLE EATERY",405616-0742
"Cyrus Herrera",756-06-09,SAFEWAY,076279-9393
"Cyrus Herrera",756-06-09,"MIX BAR & GRILL",167553-1543
"Cyrus Herrera",756-06-09,"Hedley Club",627764-8355
"Cyrus Holden",421-18-05,Cabana,012286-7948
"Cyrus Miles",763-69-05,"L'Avant Comptoir de la Mer",972787-2484
"Cyrus Miles",763-69-05,"DOCK OF THE BAY",835167-6583
"Cyrus Miles",763-69-05,"METRO CLUB",289884-2378
"Cyrus Noel",777-77-06,"CANA BEER & WINE",192695-6895
"Cyrus Shaw",345-09-06,"Guns & Bears Pub",066604-4524
"Cyrus Shaw",345-09-06,"The Lounge",557061-3801
"Cyrus Shaw",345-09-06,"BENIHANA OF TOKYO",746233-3159
"Cyrus Vaughn",507-13-01,"BROOKVILLE EATERY",405616-0742
"Cyrus Vaughn",507-13-01,"MAPLE BEER AND WINE",624171-7682
"Cyrus Vaughn",507-13-01,"PETER'S GRILL",567033-1627
"Cyrus Vaughn",507-13-01,"Hedley Club",627764-8355
"Cyrus Wilkerson",576-06-08,"The Backbeat",845635-3971
"Cyrus Wilkerson",576-06-08,"EL MARIACHI",107629-9856
"Cyrus Wilkerson",576-06-08,"DAD'S BEER ",987820-7241
"Cyrus Wilkerson",576-06-08,"MINERVA INDIAN CUISINE",636663-6196
"Dacey Gordon",293-05-07,"Bar Hemingway",573547-0154
"Dacey Gordon",293-05-07,"NEWS EXPRESS",615857-5438
"Dacey Jones",733-75-08,EGGSPECTATION,459940-2189
"Dacey Jones",733-75-08,"L'Ours Bar",402911-2895
"Dacey Jones",733-75-08,"CHOICE ",075626-4206
"Dacey Jones",733-75-08,SILVER,716079-8588
"Dahlia Barnett",267-75-07,"TAIPEI TOKYO",147454-4051
"Dahlia Harrington",753-03-02,"COUNTRY BOY CLUB",565494-6333
"Dahlia Harrington",753-03-02,SAMANTHA'S,065321-9717
"Dahlia Harrington",753-03-02,"Bar Hemingway",573547-0154
"Dahlia Harrington",753-03-02,"NEWS EXPRESS",615857-5438
"Dahlia Harrington",753-03-02,"OLNEY ALE HOUSE",103007-8750
"Dahlia James",887-39-05,"GOLF ULTRA LOUNGE",008054-3713
"Dahlia James",887-39-05,"OLAZZO RESTAURANT",544976-6244
"Dahlia Moore",287-06-00,"COUNTRY BOY CLUB",565494-6333
"Dahlia Moore",287-06-00,"Bar Hemingway",573547-0154
"Dahlia Moore",287-06-00,"NEWS EXPRESS",615857-5438
"Dahlia Moore",287-06-00,"The Bloomsbury Club Bar",032912-1156
"Dahlia Pennington",447-63-00,"RED BOWL",707445-3676
"Dahlia Pennington",447-63-00,"The Coral Room",336670-1716
"Dahlia Pennington",447-63-00,"The Chandos Arms",072616-5319
"Dai Bean",414-50-02,"BARREL & CROW",938023-9690
"Dai Bean",414-50-02,"Daly's Wine Bar",686766-4572
"Dai Brown",545-77-06,BECLAWS,269500-5799
"Dai Brown",545-77-06,"EL SOL SALVADOREAN & MEXICAN R",519829-9801
"Dakota Burris",879-11-03,"HOWARD BAR & GRILL",564383-9375
"Dakota Carney",382-74-08,SHANGRI'LA,392381-3350
"Dakota Slater",269-62-01,"MAMMA LUCIA",825954-1152
"Dakota Slater",269-62-01,"The Shark and Rose",385233-3057
"Dakota Slater",269-62-01,"POSITANO RISTORANTE ITALIANO",784026-4704
"Dakota Slater",269-62-01,"MIDWAY PUB",589827-6299
"Dale Leonard",561-90-00,Respublika,457966-5128
"Dale Leonard",561-90-00,"Long Bar",395573-9457
"Dale Mcfarland",830-05-05,"The Shark and Rose",385233-3057
"Dale Mcfarland",830-05-05,"EL PAISANO",269448-6792
"Dale Mcfarland",830-05-05,"WHEATON WINERY",426942-2970
"Dale Mcfarland",830-05-05,"POSITANO RISTORANTE ITALIANO",784026-4704
"Dale Patterson",579-62-06,"PASSION FISH",994587-9188
"Dale Patterson",579-62-06,Candelaria,645845-0472
"Dale Patterson",579-62-06,"Le Tr?s Particulier",432512-8710
"Dale Peck",007-16-01,"UNPLUGGED SPORT BAR & RESTAURA",703500-7595
"Dale Peck",007-16-01,"LONGHORN STEAKHOUSE",039890-9002
"Dale Weeks",883-71-03,"FOREST GLEN PUB",724454-6920
"Dale Weeks",883-71-03,"HOWARD BAR & GRILL",564383-9375
"Dale Weeks",883-71-03,"LOS CHORROS RESTAURANT",637478-3600
"Dale Weeks",883-71-03,"DUCK DUCK GOOSE",844789-9843
"Dalton Montoya",417-62-03,"Winil Wine Bar",348656-7617
"Dalton Montoya",417-62-03,"Molly Gwynn's",408783-4273
"Dalton Montoya",417-62-03,"Ye Olde Mitre",379956-5316
"Dalton Silva",677-97-08,"STAINED GLASS PUB",033215-5373
"Dalton Silva",677-97-08,"The Wigmore",785196-5934
"Dalton Silva",677-97-08,"THELO GREEK GRILL",577421-5163
"Dalton Underwood",834-19-09,"Pivbar Kolomenskoye",365700-4523
"Dalton Underwood",834-19-09,"Mandy's Apothecary Irish Pub",036932-8331
"Dalton Underwood",834-19-09,Cabana,012286-7948
"Dalton Underwood",834-19-09,"HUNAN NIGHT",619242-8172
"Damian Brewer",127-37-04,"FINNEGAN'S WAKE IRISH PUB",267320-6500
"Damian Hanson",633-07-08,"Belowzero Ice Bar",679007-3636
"Damian Hanson",633-07-08,"The Coral Room",336670-1716
"Damian Hanson",633-07-08,"WATERSHED CAFE",668344-5222
"Damian Ingram",283-33-00,"Aux Folies",178856-0090
"Damian Ingram",283-33-00,Neko,097147-8367
"Damian Ingram",283-33-00,"SHALOM STRICTLY KOSHER MEATS",077097-3972
"Damian Kidd",830-25-01,"EL ANDARIEGO",822937-5764
"Damian Kidd",830-25-01,"Castor Club",812147-3998
"Damian Kidd",830-25-01,"Ye Olde Mitre",379956-5316
"Damian Kidd",830-25-01,"Gecko Grill",446219-2628
"Damian Larson",611-59-05,"LA PANETTERIA ",189702-8542
"Damian Larson",611-59-05,"THE BARKING DOG",953633-2746
"Damian Larson",611-59-05,"The Bar at The Dorchester",137269-3752
"Damian Manning",856-51-05,"FOREST GLEN PUB",724454-6920
"Damian Manning",856-51-05,"DUCK DUCK GOOSE",844789-9843
"Damian Manning",856-51-05,"SANTO POLLO ",348034-4278
